Task,Name,Result,Engine,Bound,Time,Note
"mytask","ariane.CHECK_csr_buffer_s1","covered","AD","3 - 4","0.187 s",""
"mytask","ariane.CHECK_mult_s1","covered","AM","4","0.079 s",""
"mytask","ariane.CHECK_load_unit_op_s1","covered","Tri","8","1.433 s",""
"mytask","ariane.CHECK_load_unit_op_s10","unreachable","PRE","Infinite","0.000 s",""
"mytask","ariane.CHECK_load_unit_op_s11","unreachable","PRE","Infinite","0.000 s",""
"mytask","ariane.CHECK_load_unit_op_s12","unreachable","PRE","Infinite","0.000 s",""
"mytask","ariane.CHECK_load_unit_op_s13","unreachable","PRE","Infinite","0.000 s",""
"mytask","ariane.CHECK_load_unit_op_s14","unreachable","PRE","Infinite","0.000 s",""
"mytask","ariane.CHECK_load_unit_op_s15","unreachable","PRE","Infinite","0.000 s",""
"mytask","ariane.CHECK_load_unit_op_s2","covered","AM","4","0.103 s",""
"mytask","ariane.CHECK_load_unit_op_s3","covered","AM","2 - 5","0.473 s",""
"mytask","ariane.CHECK_load_unit_op_s4","unreachable","AD","Infinite","0.050 s",""
"mytask","ariane.CHECK_load_unit_op_s5","unreachable","AD","Infinite","0.061 s",""
"mytask","ariane.CHECK_load_unit_op_s6","unreachable","AD","Infinite","0.061 s",""
"mytask","ariane.CHECK_load_unit_op_s7","unreachable","Hp","Infinite","8.368 s",""
"mytask","ariane.CHECK_load_unit_op_s8","unreachable","PRE","Infinite","0.000 s",""
"mytask","ariane.CHECK_load_unit_op_s9","unreachable","PRE","Infinite","0.000 s",""
"mytask","ariane.CHECK_mem_req_s1","covered","AD","2 - 3","0.066 s",""
